# lang_prior: word<TAB>weight, weight = 16 * clip(log p_cy - log p_en, +-4) * c/(c+2); >0 Welsh, <0 English.
# GENERATED by scripts/gen_lang_prior.py from corpws-brawddegau-tagiedig (CC0, 3596 sentences)
# and MASC 3.0.0 (CC BY 3.0 US, 32450 sentences). DO NOT EDIT BY HAND. Sorted by byte order.
affectionately	7
affections	7
affidavit	-15
affidavits	4
affiliate	-10
affiliated	6
affiliates	4
affirmative	-4
affirmatively	6
affirming	7
affirms	7
afflicted	7
affliction	6
afford	-24
affordable	-10
afforded	4
affording	6
affords	7
affricanaidd	32
affront	6
afghan	-6
afghanistan	-26
afield	4
afloat	4
aflwyddiannus	18
aflwyddiant	18
aflwyddo	18
afon	46
afonydd	46
afor	7
aforementioned	4
afoul	4
afraid	-25
africa	-18
african	-13
african-	2
after	-64
aftereffects	7
afterlife	4
afternoon	-29
aftershock	7
afterward	7
afterwards	-4
ag	56
again	-64
againand	7
againbut	7
against	-58
againwind	7
agarose	7
age	-50
aged	2
agencies	-24
agency	-29
agenda	-14
agendas	4
agent	-35
agents	-34
agentsay	7
ages	-20
agggah	7
aggi	2
aggradation	-14
aggrading	7
aggrastat	6
aggravated	4
aggravates	7
aggravating	7
aggregate	6
aggregates	7
aggregator	7
aggression	7
aggressive	-14
aggressively	2
aggressors	7
agh	4
aghast	6
agile	7
agitate	7
agitated	6
agnew	7
agnodice	7
agnosticism	7
ago	-46
agony	4
agor	48
agored	43
agorodd	38
agorwyd	18
agos	48
agosach	32
agosaf	43
agr	7
agrarian	7
agre	7
agree	-45
agreeable	7
agreed	-30
agreeing	6
agreement	-27
agreements	-21
agrement	2
agresso	6
agressoconsultant	6
agri	7
agricultural	4
agriculture	-13
aground	7
agular	7
agwedd	38
agweddau	32
agwpt	7
ah	7
ahahhaha	7
ahead	-34
ahem	7
ahh	7
ahhh	2
ahmed	6
ahold	4
ahora	7
ai	44
ai'n	18
ai'r	32
ai-xxx	6
aico	7
aid	-20
aide	2
aided	2
aides	2
aiding	7
aids	6
aiff	18
aifft	18
aig	-6
ail	55
ailafael	18
ailddechreuwch	18
ailgychwyn	18
ailgydio	18
ailing	7
ailments	6
ailuno	18
ailwampio'r	18
ailymddangos	18
ailystyried	32
aim	-13
aimed	-4
aims	7
aint	7
air	-27
air-xd	7
airborne	-9
airbus	7
aircard	7
aircraft	-8
airfare	7
airfield	4
airfields	6
airflow	7
airing	7
airline	-9
airlines	4
airlocks	7
airmail	7
airmen	4
airplane	2
airplanes	6
airport	-2
airports	7
airpuffer	7
airspace	2
airtight	7
airwaves	7
airways	7
airy	7
aisle	6
ajax	7
ajc	7
ajmal	7
aka	4
akcfp	7
akerfeldt	7
akin	6
akinari	6
akinaxx	7
akrotiri	4
akroyd	7
aksa	7
al	-45
al-	7
alabama	6
aladdin	6
alai	6
alan	-41
alar	18
alarch	18
alarm	2
alarmed	7
alarming	6
alarms	6
alas	6
alaska	-13
alaskans	-4
alba	7
alban	18
albanian	7
albans	18
albany	6
albar	7
albatros	7
albeit	2
albert	-4
albertson-	7
albertsons	7
albornoz	6
albright	6
albumin	7
albums	7
alchohol	7
alcohol	-13
alcoholic	-2
aldolase	7
ale	2
alean	7
aleck	7
alert	-6
alerted	7
alerting	6
alertness	7
alerts	6
alex	-13
alexander	8
alexandria	7
alexis	-4
alfred	23
alfreds	18
alga	7
algebra	6
algorithm	-10
algorithms	7
algâu	38
ali	6
alias	2
aliases	7
alice	-17
alien	7
alienated	7
alienating	7
align	6
aligned	4
aligning	6
alignment	6
alike	-9
alimony	7
alimzhan	7
alinio	18
aliquam	4
aliquet	7
aliquots	7
alisha	7
alive	-24
alk	6
alkau	6
alkene	6
all	-63
all-time	7
alla	18
alla'	18
allaf	18
allah	2
allai	46
allan	28
allay	6
allbaugh	7
allbwn	38
alle	6
allegation	7
allegations	-4
allege	7
allegedly	4
allegheny	18
allegiance	7
alleging	6
allegorical	7
allegorically	7
allen	14
allet	18
alleviate	7
alleviating	7
alley	-4
alleys	6
alleyway	7
alleyways	7
alli	18
alliance	4
allied	6
allies	-12
alligator	6
alligators	7
alliteration	7
alliwalia	7
allocate	6
allocated	6
allocating	6
allocation	-4
allocations	6
allonfla	7
allosteric	7
allots	7
allotted	7
allow	-42
allowances	-2
allowed	-29
allowing	-22
allows	-26
allright	7
alls	7
allstar	7
allu	18
alluded	7
alluring	6
allusion	7
alluvial	-18
alluvium	4
allwch	32
allwedd	52
allweddi	38
allweddol	32
allwn	46
ally	7
almaen	18
almaeneg	32
almanac	6
almei­da	7
almighty	-6
almost	-48
aloha	7
alone	-43
alone--a	7
along	-48
alongside	-15
alonso	7
alot	4
aloud	4
alpau	18
alpha	2
alphabet	6
alphabets	7
alphabetti	7
already	-53
alright	-13
also	-64
altar	-8
altenergystocks	7
alter	-2
alteration	4
alterations	7
altercation	7
altered	-4
altering	7
alternate	-8
alternating	7
alternation	7
alternative	-17
alternatively	2
alternatives	-2
altes	7
although	-48
altiplano	7
altitude	7
alto	4
altogether	4
altos	7
altruist	7
alum	7
aluminum	2
alumnae	6
alumni	7
alun	18
alvares	7
alvarez	7
alvestrand	-6
alvin	7
alw	50
alw'n	43
alw'r	32
alwad	32
always	-58
alwodd	18
alzheimer	7
am	38
ama	6
amaethyddiaeth	32
amah	7
amair	7
amalgam	7
amalgamation	7
amaron	7
amas	7
amassed	7
amateurs	7
amaze	6
amazed	-2
amazement	4
amazing	-26
amazingly	7
amazon	-6
amazonfail	7
amazonian	7
ambarelo'r	18
ambassador	-8
ambassador_a	7
ambassadorial	7
ambek	7
ambell	51
amber	-16
ambeth	18
ambience	4
ambient	7
ambiguous	-6
ambition	4
ambitions	7
ambitious	-2
ambivalence	7
ambler	6
ambrose	7
ambulance	4
ambush	7
ambushed	7
amc	-23
amcan	32
amcangyfrif	18
amcanion	32
amdana	18
amdanaf	32
amdanat	46
amdani	18
amdano	54
amdanoch	50
amdanyn	32
amdanynt	32
amddiffyn	32
amddiffynnydd	18
ame	7
amelia	18
ameliorate	7
amend	-2
amendab	7
amended	2
amending	7
amendment	-36
amendments	-16
amendment”	18
amenities	2
america	-13
american	-59
americanaidd	32
americanism	7
americans	-38
americanwr	18
americanwyr	48
americas	-4
amerlegion	7
amersham	4
amex	4
amgen	18
amgueddfa	46
amgylch	32
amgylchedd	18
amgylcheddol	18
amgylchiadau	18
amharchus	18
amherthnasol	32
amheuaeth	32
ami	6
amicable	7
amicus	4
amid	2
amiddobeidioaddolirddelw	18
amidst	6
amigo	6
amigopwd	7
amino	-18
amino-transferases	7
aminoacyle	6
amira	7
amish	7
amizade	7
aml	59
amlaf	32
amlwg	52
amman	6
ammonium	7
ammunition	-4
amnesty	4
amo	7
amodau	18
amoeba	7
amoebae	7
amok	7
among	-47
amongst	2
amorim	7
amorphous	7
amortization	7
amortize	7
amount	-42
amounted	6
amounts	-16
amout	7
amp	6
ampcp	-10
ampersands	7
amphibians	7
ample	-4
amplified	4
amplifier	6
amppnp	2
amputating	7
amrediad	32
amrwd	18
amryw	38
amrywiaeth	32
amrywio	18
ams	-4
amsel	7
amser	60
amserydd	18
amsterdam	4
amtechnetworks	6
amtrak	7
amused	6
amuses	7
amway	7
amwythig	18
amy	-28
amynedd	18
amyneddgar	32
am–	-18
am–midnight	7
an	-64
an-	4
ana	16
ana-lyzing	7
anableddau	18
anabranching	7
anadl	32
anadliadau'r	18
anadlol	18
anadlu	32
anafu	32
anafu'n	18
anaheim	4
anal	7
analluogi	18
analog	-2
analogies	4
analogous	4
analogously	7
analogs	6
analogue	6
analogy	4
analyses	-12
analysis	-37
analyst	-6
analysts	-6
analytical	-2
analyze	2
analyzes	6
analyzing	2
anaml	18
ananimous	7
anant	6
anarchic	7
anarchically	7
anarchist	7
anarchy	-4
anatolia	4
anatolian	7
anatrim	-14
anatural	7
anawsterau	32
anbehav	7
ancestor	6
ancestors	-9
ancestral	2
anchor	-6
anchored	7
anchorman	7
anchors	6
ancient	-26
ancillary	7
and	-64
andante	6
andar	7
andean	7
anderson	-4
andersson	7
andhra	7
andiamo	7
andr	6
andre	6
andres	7
andrew	-4
andrews	4
android	20
androids	7
andros	44
androscoggin	7
andy	18
anecdotal	6
anecdotes	7
aneffeithiol	18
aneglur	32
anelodd	32
anelu	32
anelu'n	18
anenwog	18
anerchiad	18
anesthesiologist	6
anesthesiology	7
anew	7
anfantais	38
anfanteisiol	18
anferth	18
anffodus	50
anfodus	32
anfoesol	18
anfon	51
anfona	18
anfoner	18
anfonwch	18
anfonwn	18
anfuddiol	18
angel	-16
angela	6
angeles	-19
angeles–	6
