0023 20E3	gorchudd bysell #
1F3E4	swyddfa bost
1F3E5	ysbyty
1F3E6	banc
1F3E7	arwydd peiriant codi arian
1F3E8	gwesty
1F3E9	gwesty cariad
1F3EA	siop gyfleus
1F3EB	ysgol
1F3EC	siop adrannol
1F3ED	ffatri
1F3EE	llusern bapur coch
1F3EF	castell Japaneaidd
1F3F0	castell
1F3F3	chwifio baner wen
1F3F4	chwifio baner ddu
1F3F4 E0067 E0062 E0065 E006E E0067 E007F	baner Lloegr
1F3F4 E0067 E0062 E0073 E0063 E0074 E007F	baner Yr Alban
1F3F4 E0067 E0062 E0077 E006C E0073 E007F	baner Cymru
1F3F5	rhosglwm
1F3F7	label
1F3F8	badminton
1F3F9	bwa saeth
1F3FA	llestri
1F3FB	arlliw croen golau
1F3FC	arlliw croen canolig-golau
1F3FD	arlliw croen canolog
1F3FE	arlliw croen canolig-tywyll
1F3FF	arlliw croen tywyll
1F400	llygoden fawr
1F401	llygoden
1F402	ych
1F403	byfflo dwr
1F404	buwch
1F405	teigr
1F406	llewpard
1F407	cwningen
1F408	cath
1F409	draig
1F40A	crocodeil
1F40B	morfil
1F40C	malwoden
1F40D	neidr
1F40E	ceffyl
1F40F	hwrdd
1F410	gafr
1F411	dafad
1F412	mwnci
1F413	ceiliog
1F414	iâr
1F415	ci
1F416	mochyn
1F417	baedd
1F418	eliffant
1F419	octopws
1F41A	cragen droellog
1F41B	pryf
1F41C	morgrugyn
1F41D	gwenynen
1F41E	chwilen y wraig
1F41F	pysgodyn
1F420	pysgod trofannol
1F421	chwydd bysgodyn
1F422	crwban y môr
1F423	deoriad cywion
1F424	cyw bach
1F425	cyw iâr yn blaen-wynebu
1F426	aderyn
1F427	pengwin
1F428	coala
1F429	pwdl
1F42A	camel
1F42B	camel dau dwmpath
1F42C	dolffin
1F42D	wyneb llygoden
1F42E	wyneb buwch
1F42F	wyneb teigr
1F430	wyneb cwningen
1F431	wyneb cath
1F432	wyneb draig
1F433	morfil yn chwythu dŵr
1F434	wyneb ceffyl
1F435	wyneb mwnci
1F436	wyneb ci
1F437	wyneb mochyn
1F438	broga
1F439	wyneb bochdew
1F43A	blaidd
1F43B	wyneb arth
1F43C	wyneb panda
1F43D	trwyn mochyn
1F43E	olion pawen
1F43F	gwiwer resog
1F440	llygaid
1F441	llygad
1F442	clust
1F442 1F3FB	clust arlliw croen golau
1F442 1F3FC	clust arlliw croen canolig-golau
1F442 1F3FD	clust arlliw croen canolog
1F442 1F3FE	clust arlliw croen canolig-tywyll
1F442 1F3FF	clust arlliw croen tywyll
1F443	trwyn
1F443 1F3FB	trwyn arlliw croen golau
1F443 1F3FC	trwyn arlliw croen canolig-golau
1F443 1F3FD	trwyn arlliw croen canolog
1F443 1F3FE	trwyn arlliw croen canolig-tywyll
1F443 1F3FF	trwyn arlliw croen tywyll
1F444	ceg
1F445	tafod
1F446	mynegfys yr wrthlaw yn pwyntio i fyny
1F446 1F3FB	mynegfys yr wrthlaw yn pwyntio i fyny arlliw croen golau
1F446 1F3FC	mynegfys yr wrthlaw yn pwyntio i fyny arlliw croen canolig-golau
1F446 1F3FD	mynegfys yr wrthlaw yn pwyntio i fyny arlliw croen canolog
1F446 1F3FE	mynegfys yr wrthlaw yn pwyntio i fyny arlliw croen canolig-tywyll
1F446 1F3FF	mynegfys yr wrthlaw yn pwyntio i fyny arlliw croen tywyll
1F447	mynegfys yr wrthlaw yn pwyntio i lawr
1F447 1F3FB	mynegfys yr wrthlaw yn pwyntio i lawr arlliw croen golau
1F447 1F3FC	mynegfys yr wrthlaw yn pwyntio i lawr arlliw croen canolig-golau
1F447 1F3FD	mynegfys yr wrthlaw yn pwyntio i lawr arlliw croen canolog
1F447 1F3FE	mynegfys yr wrthlaw yn pwyntio i lawr arlliw croen canolig-tywyll
1F447 1F3FF	mynegfys yr wrthlaw yn pwyntio i lawr arlliw croen tywyll
1F448	mynegfys yr wrthlaw yn pwyntio i’r chwith
1F448 1F3FB	mynegfys yr wrthlaw yn pwyntio i’r chwith arlliw croen golau
1F448 1F3FC	mynegfys yr wrthlaw yn pwyntio i’r chwith arlliw croen canolig-golau
1F448 1F3FD	mynegfys yr wrthlaw yn pwyntio i’r chwith arlliw croen canolog
1F448 1F3FE	mynegfys yr wrthlaw yn pwyntio i’r chwith arlliw croen canolig-tywyll
1F448 1F3FF	mynegfys yr wrthlaw yn pwyntio i’r chwith arlliw croen tywyll
1F449	mynegfys yr wrthlaw yn pwyntio i’r dde
1F449 1F3FB	mynegfys yr wrthlaw yn pwyntio i’r dde arlliw croen golau
1F449 1F3FC	mynegfys yr wrthlaw yn pwyntio i’r dde arlliw croen canolig-golau
1F449 1F3FD	mynegfys yr wrthlaw yn pwyntio i’r dde arlliw croen canolog
1F449 1F3FE	mynegfys yr wrthlaw yn pwyntio i’r dde arlliw croen canolig-tywyll
1F449 1F3FF	mynegfys yr wrthlaw yn pwyntio i’r dde arlliw croen tywyll
1F44A	dwrn yn agosáu
1F44A 1F3FB	dwrn yn agosáu arlliw croen golau
1F44A 1F3FC	dwrn yn agosáu arlliw croen canolig-golau
1F44A 1F3FD	dwrn yn agosáu arlliw croen canolog
1F44A 1F3FE	dwrn yn agosáu arlliw croen canolig-tywyll
1F44A 1F3FF	dwrn yn agosáu arlliw croen tywyll
1F44B	llaw yn chwifio
1F44B 1F3FB	llaw yn chwifio arlliw croen golau
1F44B 1F3FC	llaw yn chwifio arlliw croen canolig-golau
1F44B 1F3FD	llaw yn chwifio arlliw croen canolog
1F44B 1F3FE	llaw yn chwifio arlliw croen canolig-tywyll
1F44B 1F3FF	llaw yn chwifio arlliw croen tywyll
1F44C	llaw ocê
1F44C 1F3FB	llaw ocê arlliw croen golau
1F44C 1F3FC	llaw ocê arlliw croen canolig-golau
1F44C 1F3FD	llaw ocê arlliw croen canolog
1F44C 1F3FE	llaw ocê arlliw croen canolig-tywyll
1F44C 1F3FF	llaw ocê arlliw croen tywyll
1F44D	bys bawd i fyny
1F44D 1F3FB	bys bawd i fyny arlliw croen golau
1F44D 1F3FC	bys bawd i fyny arlliw croen canolig-golau
1F44D 1F3FD	bys bawd i fyny arlliw croen canolog
1F44D 1F3FE	bys bawd i fyny arlliw croen canolig-tywyll
1F44D 1F3FF	bys bawd i fyny arlliw croen tywyll
1F44E	bys bawd i lawr
1F44E 1F3FB	bys bawd i lawr arlliw croen golau
1F44E 1F3FC	bys bawd i lawr arlliw croen canolig-golau
1F44E 1F3FD	bys bawd i lawr arlliw croen canolog
1F44E 1F3FE	bys bawd i lawr arlliw croen canolig-tywyll
1F44E 1F3FF	bys bawd i lawr arlliw croen tywyll
1F44F	dwylo yn curo
1F44F 1F3FB	dwylo yn curo arlliw croen golau
1F44F 1F3FC	dwylo yn curo arlliw croen canolig-golau
1F44F 1F3FD	dwylo yn curo arlliw croen canolog
1F44F 1F3FE	dwylo yn curo arlliw croen canolig-tywyll
1F44F 1F3FF	dwylo yn curo arlliw croen tywyll
1F450	dwylo agored
1F450 1F3FB	dwylo agored arlliw croen golau
1F450 1F3FC	dwylo agored arlliw croen canolig-golau
1F450 1F3FD	dwylo agored arlliw croen canolog
1F450 1F3FE	dwylo agored arlliw croen canolig-tywyll
1F450 1F3FF	dwylo agored arlliw croen tywyll
1F451	coron
1F452	het fenyw
1F453	sbectol
1F454	tei
1F455	crys T
1F456	jîns
1F457	ffrog
1F458	cimono
1F459	bicini
1F45A	dillad menywod
1F45B	pwrs
1F45C	bag llaw
1F45D	cwd
1F45E	esgid dyn
1F45F	esgidiau rhedeg
1F460	esgidiau sodlau uchel
1F461	sandal menyw
1F462	esgid fenyw
1F463	olion traed
1F464	penddelw mewn silwét
1F465	penddelwau mewn silwét
1F466	bachgen
1F466 1F3FB	bachgen arlliw croen golau
1F466 1F3FC	bachgen arlliw croen canolig-golau
1F466 1F3FD	bachgen arlliw croen canolog
1F466 1F3FE	bachgen arlliw croen canolig-tywyll
1F466 1F3FF	bachgen arlliw croen tywyll
1F467	merch
1F467 1F3FB	merch arlliw croen golau
1F467 1F3FC	merch arlliw croen canolig-golau
1F467 1F3FD	merch arlliw croen canolog
1F467 1F3FE	merch arlliw croen canolig-tywyll
1F467 1F3FF	merch arlliw croen tywyll
1F468	dyn
1F468 1F3FB	dyn arlliw croen golau
1F468 1F3FC	dyn arlliw croen canolig-golau
1F468 1F3FD	dyn arlliw croen canolog
1F468 1F3FE	dyn arlliw croen canolig-tywyll
1F468 1F3FF	dyn arlliw croen tywyll
1F469	menyw
1F469 1F3FB	menyw arlliw croen golau
1F469 1F3FC	menyw arlliw croen canolig-golau
1F469 1F3FD	menyw arlliw croen canolog
1F469 1F3FE	menyw arlliw croen canolig-tywyll
1F469 1F3FF	menyw arlliw croen tywyll
1F46A	teulu
1F46B	dyn a menyw yn dal dwylo
1F46B 1F3FB	dyn a menyw yn dal dwylo arlliw croen golau
1F46B 1F3FC	dyn a menyw yn dal dwylo arlliw croen canolig-golau
1F46B 1F3FD	dyn a menyw yn dal dwylo arlliw croen canolog
1F46B 1F3FE	dyn a menyw yn dal dwylo arlliw croen canolig-tywyll
1F46B 1F3FF	dyn a menyw yn dal dwylo arlliw croen tywyll
1F46C	dau ddyn yn dal dwylo
1F46C 1F3FB	dau ddyn yn dal dwylo arlliw croen golau
1F46C 1F3FC	dau ddyn yn dal dwylo arlliw croen canolig-golau
1F46C 1F3FD	dau ddyn yn dal dwylo arlliw croen canolog
1F46C 1F3FE	dau ddyn yn dal dwylo arlliw croen canolig-tywyll
1F46C 1F3FF	dau ddyn yn dal dwylo arlliw croen tywyll
1F46D	dwy fenyw yn dal dwylo
1F46D 1F3FB	dwy fenyw yn dal dwylo arlliw croen golau
1F46D 1F3FC	dwy fenyw yn dal dwylo arlliw croen canolig-golau
1F46D 1F3FD	dwy fenyw yn dal dwylo arlliw croen canolog
1F46D 1F3FE	dwy fenyw yn dal dwylo arlliw croen canolig-tywyll
1F46D 1F3FF	dwy fenyw yn dal dwylo arlliw croen tywyll
1F46E	heddwas
1F46E 1F3FB	heddwas arlliw croen golau
1F46E 1F3FC	heddwas arlliw croen canolig-golau
1F46E 1F3FD	heddwas arlliw croen canolog
1F46E 1F3FE	heddwas arlliw croen canolig-tywyll
1F46E 1F3FF	heddwas arlliw croen tywyll
1F46F	pobl mewn parti
1F46F 1F3FB	pobl mewn parti arlliw croen golau
1F46F 1F3FC	pobl mewn parti arlliw croen canolig-golau
1F46F 1F3FD	pobl mewn parti arlliw croen canolog
1F46F 1F3FE	pobl mewn parti arlliw croen canolig-tywyll
1F46F 1F3FF	pobl mewn parti arlliw croen tywyll
1F470	person yn gwisgo llen
1F470 1F3FB	person yn gwisgo llen arlliw croen golau
1F470 1F3FC	person yn gwisgo llen arlliw croen canolig-golau
1F470 1F3FD	person yn gwisgo llen arlliw croen canolog
1F470 1F3FE	person yn gwisgo llen arlliw croen canolig-tywyll
1F470 1F3FF	person yn gwisgo llen arlliw croen tywyll
1F471	person â gwallt golau
1F471 1F3FB	person â gwallt golau arlliw croen golau
1F471 1F3FC	person â gwallt golau arlliw croen canolig-golau
1F471 1F3FD	person â gwallt golau arlliw croen canolog
1F471 1F3FE	person â gwallt golau arlliw croen canolig-tywyll
1F471 1F3FF	person â gwallt golau arlliw croen tywyll
1F472	dyn â chap Tsieineaidd
1F472 1F3FB	dyn â chap Tsieineaidd arlliw croen golau
1F472 1F3FC	dyn â chap Tsieineaidd arlliw croen canolig-golau
1F472 1F3FD	dyn â chap Tsieineaidd arlliw croen canolog
1F472 1F3FE	dyn â chap Tsieineaidd arlliw croen canolig-tywyll
1F472 1F3FF	dyn â chap Tsieineaidd arlliw croen tywyll
1F473	person yn gwisgo twrban
1F473 1F3FB	person yn gwisgo twrban arlliw croen golau
1F473 1F3FC	person yn gwisgo twrban arlliw croen canolig-golau
1F473 1F3FD	person yn gwisgo twrban arlliw croen canolog
1F473 1F3FE	person yn gwisgo twrban arlliw croen canolig-tywyll
1F473 1F3FF	person yn gwisgo twrban arlliw croen tywyll
1F474	hen ddyn
1F474 1F3FB	hen ddyn arlliw croen golau
1F474 1F3FC	hen ddyn arlliw croen canolig-golau
1F474 1F3FD	hen ddyn arlliw croen canolog
1F474 1F3FE	hen ddyn arlliw croen canolig-tywyll
1F474 1F3FF	hen ddyn arlliw croen tywyll
1F475	hen fenyw
1F475 1F3FB	hen fenyw arlliw croen golau
1F475 1F3FC	hen fenyw arlliw croen canolig-golau
1F475 1F3FD	hen fenyw arlliw croen canolog
1F475 1F3FE	hen fenyw arlliw croen canolig-tywyll
1F475 1F3FF	hen fenyw arlliw croen tywyll
1F476	babi
1F476 1F3FB	babi arlliw croen golau
1F476 1F3FC	babi arlliw croen canolig-golau
1F476 1F3FD	babi arlliw croen canolog
1F476 1F3FE	babi arlliw croen canolig-tywyll
1F476 1F3FF	babi arlliw croen tywyll
1F477	adeiladwr
1F477 1F3FB	adeiladwr arlliw croen golau
1F477 1F3FC	adeiladwr arlliw croen canolig-golau
1F477 1F3FD	adeiladwr arlliw croen canolog
1F477 1F3FE	adeiladwr arlliw croen canolig-tywyll
1F477 1F3FF	adeiladwr arlliw croen tywyll
1F478	tywysoges
1F478 1F3FB	tywysoges arlliw croen golau
1F478 1F3FC	tywysoges arlliw croen canolig-golau
1F478 1F3FD	tywysoges arlliw croen canolog
1F478 1F3FE	tywysoges arlliw croen canolig-tywyll
1F478 1F3FF	tywysoges arlliw croen tywyll
1F479	anghenfil
1F47A	bwgan
1F47B	ysbryd
1F47C	babi angel
1F47C 1F3FB	babi angel arlliw croen golau
1F47C 1F3FC	babi angel arlliw croen canolig-golau
1F47C 1F3FD	babi angel arlliw croen canolog
1F47C 1F3FE	babi angel arlliw croen canolig-tywyll
1F47C 1F3FF	babi angel arlliw croen tywyll
1F47D	estron
1F47E	anghenfil estron
1F47F	wyneb dig â chyrn
1F480	penglog
1F481	person yn gwyro llaw
1F481 1F3FB	person yn gwyro llaw arlliw croen golau
1F481 1F3FC	person yn gwyro llaw arlliw croen canolig-golau
1F481 1F3FD	person yn gwyro llaw arlliw croen canolog
1F481 1F3FE	person yn gwyro llaw arlliw croen canolig-tywyll
1F481 1F3FF	person yn gwyro llaw arlliw croen tywyll
1F482	gwarchodfilwr
1F482 1F3FB	gwarchodfilwr arlliw croen golau
1F482 1F3FC	gwarchodfilwr arlliw croen canolig-golau
1F482 1F3FD	gwarchodfilwr arlliw croen canolog
1F482 1F3FE	gwarchodfilwr arlliw croen canolig-tywyll
1F482 1F3FF	gwarchodfilwr arlliw croen tywyll
1F483	menyw yn dawnsio
1F483 1F3FB	menyw yn dawnsio arlliw croen golau
1F483 1F3FC	menyw yn dawnsio arlliw croen canolig-golau
1F483 1F3FD	menyw yn dawnsio arlliw croen canolog
1F483 1F3FE	menyw yn dawnsio arlliw croen canolig-tywyll
1F483 1F3FF	menyw yn dawnsio arlliw croen tywyll
1F484	minlliw
1F485	farnais ewinedd
1F485 1F3FB	farnais ewinedd arlliw croen golau
1F485 1F3FC	farnais ewinedd arlliw croen canolig-golau
1F485 1F3FD	farnais ewinedd arlliw croen canolog
1F485 1F3FE	farnais ewinedd arlliw croen canolig-tywyll
1F485 1F3FF	farnais ewinedd arlliw croen tywyll
1F486	person yn derbyn tyluniad
1F486 1F3FB	person yn derbyn tyluniad arlliw croen golau
1F486 1F3FC	person yn derbyn tyluniad arlliw croen canolig-golau
1F486 1F3FD	person yn derbyn tyluniad arlliw croen canolog
1F486 1F3FE	person yn derbyn tyluniad arlliw croen canolig-tywyll
1F486 1F3FF	person yn derbyn tyluniad arlliw croen tywyll
1F487	person yn cael ei wallt wedi’u torri
1F487 1F3FB	person yn cael ei wallt wedi’u torri arlliw croen golau
1F487 1F3FC	person yn cael ei wallt wedi’u torri arlliw croen canolig-golau
1F487 1F3FD	person yn cael ei wallt wedi’u torri arlliw croen canolog
1F487 1F3FE	person yn cael ei wallt wedi’u torri arlliw croen canolig-tywyll
1F487 1F3FF	person yn cael ei wallt wedi’u torri arlliw croen tywyll
1F488	polyn barbwr
1F489	chwistrell
1F48A	pilsen
1F48B	ôl cusan
1F48C	llythyr caru
1F48D	modrwy
1F48E	gemfaen
1F48F	cusan
1F48F 1F3FB	cusan arlliw croen golau
1F48F 1F3FC	cusan arlliw croen canolig-golau
1F48F 1F3FD	cusan arlliw croen canolog
1F48F 1F3FE	cusan arlliw croen canolig-tywyll
1F48F 1F3FF	cusan arlliw croen tywyll
1F490	tusw
1F491	pâr a chalon
1F491 1F3FB	pâr a chalon arlliw croen golau
1F491 1F3FC	pâr a chalon arlliw croen canolig-golau
1F491 1F3FD	pâr a chalon arlliw croen canolog
1F491 1F3FE	pâr a chalon arlliw croen canolig-tywyll
1F491 1F3FF	pâr a chalon arlliw croen tywyll
1F492	priodas
1F493	calon yn curo
1F494	calon wedi torri
1F495	dwy galon
1F496	calon yn disgleirio
1F497	calon yn tyfu
1F498	calon â saeth trwyddi
1F499	calon las
1F49A	calon werdd
1F49B	calon felen
1F49C	calon borffor
1F49D	calon â rhuban
1F49E	calonnau yn troelli
1F49F	addurn calon
1F4A0	diemwnt â dot
1F4A1	bwlb golau
1F4A2	symbol dicter
1F4A3	bom
1F4A4	zzz
1F4A5	trawiad
1F4A6	defnynnau chwys
1F4A7	defnyn
1F4A8	rhuthro
1F4A9	pentwr o faw
1F4AA	cyhyrau deuben wedi eu hystwytho
1F4AA 1F3FB	cyhyrau deuben wedi eu hystwytho arlliw croen golau
1F4AA 1F3FC	cyhyrau deuben wedi eu hystwytho arlliw croen canolig-golau
1F4AA 1F3FD	cyhyrau deuben wedi eu hystwytho arlliw croen canolog
1F4AA 1F3FE	cyhyrau deuben wedi eu hystwytho arlliw croen canolig-tywyll
1F4AA 1F3FF	cyhyrau deuben wedi eu hystwytho arlliw croen tywyll
1F4AB	penysgafn
1F4AC	balŵn deialog
1F4AD	cwmwl meddwl
1F4AE	blodyn gwyn
1F4AF	cant o bwyntiau
1F4B0	bag arian
1F4B1	cyfnewid arian cyfredol
1F4B2	arwydd doler drom
1F4B3	cerdyn credyd
1F4B4	papur arian yen
1F4B5	papur arian doler
1F4B6	papur arian ewro
1F4B7	papur arian punt
1F4B8	arian gydag adenydd
1F4B9	siart yn cynyddu â yen
1F4BA	sedd
1F4BB	cluniadur
1F4BC	cas friff
1F4BD	disg mini
1F4BE	disg hyblyg
1F4BF	disg optegol
1F4C0	dvd
1F4C1	ffolder ffeiliau
1F4C2	agor ffolder ffeiliau
1F4C3	tudalen gyda chwrl
1F4C4	tudalen yn wynebu i fyny
1F4C5	calendr
1F4C6	calendr rwygo
1F4C7	mynegai cardiau
1F4C8	siart yn cynyddu
1F4C9	siart yn gostwng
1F4CA	siart bar
1F4CB	clipfwrdd
1F4CC	pin
1F4CD	pin crwn
1F4CE	clip papur
1F4CF	pren mesur
1F4D0	pren mesur trionglog
1F4D1	tabiau nodau tudalen
1F4D2	cyfriflyfr
1F4D3	llyfr nodiadau
1F4D4	llyfr nodiadau gyda chlawr addurnol
1F4D5	llyfr ynghau
1F4D6	llyfr agored
1F4D7	llyfr gwyrdd
1F4D8	llyfr glas
1F4D9	llyfr oren
1F4DA	llyfrau
1F4DB	bathodyn enw
1F4DC	sgrôl
1F4DD	memo
1F4DE	derbynnydd ffôn
1F4DF	peiriant galw
1F4E0	peiriant ffacs
1F4E1	antena lloeren
1F4E2	uchelseinydd
1F4E3	megaffon
1F4E4	hambwrdd blwch allan
1F4E5	hambwrdd mewnflwch
1F4E6	parsel
1F4E7	e-bost
1F4E8	amlen yn dyfod i mewn
1F4E9	amlen gyda saeth
1F4EA	blwch post caeedig gyda banner wedi’i gostwng
1F4EB	blwch post caeedig gyda banner wedi’i chodi
1F4EC	blwch post agored gyda banner wedi’i chodi
1F4ED	blwch post agored gyda banner wedi’i gostwng
1F4EE	blwch post
1F4EF	corn bost
1F4F0	papur newydd
1F4F1	ffôn symudol
1F4F2	ffôn symudol â saeth
1F4F3	modd dirgryniad
1F4F4	ffôn symudol wedi’i ddiffodd
1F4F5	dim ffonau symudol
1F4F6	barau antena
1F4F7	camera
1F4F8	camera â fflach
1F4F9	camera fideo
1F4FA	teledu
1F4FB	radio
1F4FC	casét fideo
1F4FD	taflunydd ffilm
1F4FF	gleiniau gweddïo
1F500	botwm cymysgu traciau
1F501	botwm ailadrodd
1F502	botwm ailadrodd sengl
1F503	saethau clocwedd fertigol
1F504	botwm saethau gwrthglocwedd
1F505	botwm pylu
1F506	botwm disglair
1F507	seinydd wedi’i ddiffodd
1F508	seinydd
1F509	seinydd ymlaen
1F50A	seinydd uchel
1F50B	batri
1F50C	plwg trydanol
1F50D	chwyddwydr yn wynebu’r chwith
1F50E	chwyddwydr yn wynebu’r dde
1F50F	clô ac ysgrifbin
1F510	clô ynghau gydag allwedd
1F511	allwedd
1F512	clô
1F513	clô agored
1F514	cloch
1F515	cloch a slaes
1F516	nod tudalen
1F517	dolen
1F518	botwm radio
1F519	saeth BACK
1F51A	saeth END
1F51B	saeth ON!
1F51C	saeth SOON
1F51D	saeth TOP
1F51E	neb o dan un deg wyth oed
1F51F	gorchudd bysell 10
1F520	mewnbwn llythrennau mawr ladin
1F521	mewnbwn llythrennau bach lladin
1F522	mewnbwn rhifedd
1F523	mewnbwn symbylau
1F524	mewnbwn llythrennau lladin
1F525	tân
1F526	tortsh
1F527	sbaner
1F528	morthwyl
1F529	nyten a bollt
1F52A	cyllell cegin
1F52B	pistol dŵr
1F52C	microsgop
1F52D	telesgop
1F52E	pêl grisial
1F52F	seren chwe ochr dotiog
1F530	symbol Japaneaidd am ddechreuwr
1F531	arwyddlun tryfer
1F532	botwm sgwâr du
1F533	botwm sgwâr gwyn
1F534	cylch coch
1F535	cylch glas
1F536	diemwnt mawr oren
1F537	diemwnt mawr glas
1F538	diemwnt bach oren
1F539	diemwnt bach glas
1F53A	triongl coch yn pwyntio tuag i fyny
1F53B	triongl coch yn pwyntio tuag i lawr
1F53C	botwm i fyny
1F53D	botwm i lawr
1F549	om
1F54A	colomen
1F54B	kaaba
1F54C	mosg
1F54D	synagog
1F54E	menorah
1F550	un o’r gloch
1F551	dau o’r gloch
1F552	tri o’r gloch
1F553	pedwar o’r gloch
1F554	pump o’r gloch
1F555	chwech o’r gloch
1F556	saith o’r gloch
1F557	wyth o’r gloch
1F558	naw o’r gloch
1F559	deg o’r gloch
1F55A	un ar ddeg o’r gloch
1F55B	deuddeg o’r gloch
1F55C	hanner awr wedi un
1F55D	hanner awr wedi dau
1F55E	hanner awr wedi tri
1F55F	hanner awr wedi pedwar
1F560	hanner awr wedi pump
1F561	hanner awr wedi chwech
1F562	hanner awr wedi saith
1F563	hanner awr wedi wyth
1F564	hanner awr wedi naw
1F565	hanner awr wedi deg
1F566	hanner awr wedi un ar ddeg
1F567	hanner awr wedi deuddeg
1F56F	cannwyll
1F570	cloc silff ben tân
1F573	twll
1F574	dyn mewn gwisg fusnes yn ymddyrchafu
1F574 1F3FB	dyn mewn gwisg fusnes yn ymddyrchafu arlliw croen golau
1F574 1F3FC	dyn mewn gwisg fusnes yn ymddyrchafu arlliw croen canolig-golau
1F574 1F3FD	dyn mewn gwisg fusnes yn ymddyrchafu arlliw croen canolog
1F574 1F3FE	dyn mewn gwisg fusnes yn ymddyrchafu arlliw croen canolig-tywyll
1F574 1F3FF	dyn mewn gwisg fusnes yn ymddyrchafu arlliw croen tywyll
1F575	ditectif
1F575 1F3FB	ditectif arlliw croen golau
1F575 1F3FC	ditectif arlliw croen canolig-golau
1F575 1F3FD	ditectif arlliw croen canolog
1F575 1F3FE	ditectif arlliw croen canolig-tywyll
1F575 1F3FF	ditectif arlliw croen tywyll
1F576	sbectol haul
1F577	pry copyn
1F578	gwe pry cop
1F579	ffon reoli
1F57A	dyn yn dawnsio
1F57A 1F3FB	dyn yn dawnsio arlliw croen golau
1F57A 1F3FC	dyn yn dawnsio arlliw croen canolig-golau
1F57A 1F3FD	dyn yn dawnsio arlliw croen canolog
1F57A 1F3FE	dyn yn dawnsio arlliw croen canolig-tywyll
1F57A 1F3FF	dyn yn dawnsio arlliw croen tywyll
1F587	clipiau papur wedi’u cysylltu
1F58A	beiro
1F58B	ysgrifbin
1F58C	brwsh paent
1F58D	pensil lliw
1F590	llaw wedi ei chodi â bysedd wedi eu lledu
1F590 1F3FB	llaw wedi ei chodi â bysedd wedi eu lledu arlliw croen golau
1F590 1F3FC	llaw wedi ei chodi â bysedd wedi eu lledu arlliw croen canolig-golau
1F590 1F3FD	llaw wedi ei chodi â bysedd wedi eu lledu arlliw croen canolog
1F590 1F3FE	llaw wedi ei chodi â bysedd wedi eu lledu arlliw croen canolig-tywyll
1F590 1F3FF	llaw wedi ei chodi â bysedd wedi eu lledu arlliw croen tywyll
1F595	bys canol
1F595 1F3FB	bys canol arlliw croen golau
1F595 1F3FC	bys canol arlliw croen canolig-golau
1F595 1F3FD	bys canol arlliw croen canolog
1F595 1F3FE	bys canol arlliw croen canolig-tywyll
1F595 1F3FF	bys canol arlliw croen tywyll
1F596	saliwt fulcanaidd
1F596 1F3FB	saliwt fulcanaidd arlliw croen golau
1F596 1F3FC	saliwt fulcanaidd arlliw croen canolig-golau
1F596 1F3FD	saliwt fulcanaidd arlliw croen canolog
1F596 1F3FE	saliwt fulcanaidd arlliw croen canolig-tywyll
1F596 1F3FF	saliwt fulcanaidd arlliw croen tywyll
1F5A4	calon ddu
1F5A5	cyfrifiadur
1F5A8	argraffydd
1F5B1	llygoden gyfrifiadurol
1F5B2	pelen lwybro
1F5BC	ffrâm gyda llun
1F5C2	rhanwyr mynegai cardiau
1F5C3	blwch ffeilio cardiau
1F5C4	ffeil gabinet
1F5D1	bin sbwriel
1F5D2	llyfr nodiadau troellog
1F5D3	calendr troellog
1F5DC	cywasgedd
1F5DD	hen allwedd
1F5DE	papur newydd wedi’i rolio
1F5E1	dagr
1F5E3	pen yn siarad
1F5E8	swigen siarad i’r chwith
1F5EF	swigen ddig i’r dde
1F5F3	blwch pleidlais gyda phleidlais
1F5FA	map o’r byd
1F5FB	mynydd Fuji
1F5FC	tŵr Tokyo
1F5FD	Cerflun Rhyddid
1F5FE	map o Japan
1F5FF	moai
1F600	wyneb yn gwenu â cheg agored
1F601	wyneb yn lledwenu â gwên yn y llygaid
1F602	wyneb â dagrau hapusrwydd
1F603	wyneb yn gwenu â cheg agored a llygaid mawr
1F604	wyneb yn gwenu â cheg agored a gwên yn y llygaid
1F605	wyneb yn gwenu â cheg agored a chwys
1F606	wyneb yn gwenu â cheg agored a llygaid ynghau
1F607	wyneb yn gwenu ag eurgylch
1F608	wyneb yn gwenu â chyrn
1F609	llygaid yn wincio
1F60A	wyneb yn gwenu â gwên yn y llygaid
1F60B	wyneb yn blasu bwyd blasus
1F60C	wyneb o ryddhad
1F60D	wyneb yn gwenu â chalonnau yn y llygaid
1F60E	wyneb yn gwenu â sbectol haul
1F60F	wyneb yn cilwenu
1F610	wyneb niwtral
1F611	wyneb difynegiant
1F612	wyneb ddi-ddifyr
1F613	wyneb yn chwysu o ofid
1F614	wyneb synfyfyriol
1F615	wyneb cymysglyd
1F616	wyneb dryslyd
1F617	wyneb yn rhoi cusan
1F618	wyneb yn chwythu cusan
1F619	wyneb yn rhoi cusan â gwên yn y llygaid
1F61A	wyneb yn rhoi cusan â llygaid ynghau
1F61B	wyneb â thafod yng ngolwg
1F61C	wyneb â thafod yng ngolwg a llygaid yn wincio
1F61D	wyneb â thafod yng ngolwg a llygaid ynghau
1F61E	wyneb siomedig
1F61F	wyneb gofidio
1F620	wyneb dig
1F621	wyneb pwdu
1F622	wyneb yn crio
1F623	wyneb dyfal
1F624	wyneb â stêm yn dod o’r trwyn
1F625	wyneb siomedig ond â rhyddhad
