0023 20E3	gorchudd bysell #
1F3A9	het silc
1F3AA	tent syrcas
1F3AB	tocyn
1F3AC	clepiwr
1F3AD	celfyddydau perfformiadol
1F3AE	gêm fideo
1F3AF	ergyd uniongyrchol
1F3B0	peiriant slot
1F3B1	biliards
1F3B2	dis
1F3B3	bowlio
1F3B4	cardiau chwarae blodau
1F3B5	nodyn cerddorol
1F3B6	nodau cerddorol
1F3B7	sacsoffon
1F3B8	gitâr
1F3B9	allweddell
1F3BA	trwmped
1F3BB	ffidl
1F3BC	sgôr cerddorol
1F3BD	crys rhedeg
1F3BE	tenis
1F3BF	sgîs
1F3C0	pêl fasged
1F3C1	baner frith
1F3C2	eirafyrddiwr
1F3C2 1F3FB	eirafyrddiwr arlliw croen golau
1F3C2 1F3FC	eirafyrddiwr arlliw croen canolig-golau
1F3C2 1F3FD	eirafyrddiwr arlliw croen canolog
1F3C2 1F3FE	eirafyrddiwr arlliw croen canolig-tywyll
1F3C2 1F3FF	eirafyrddiwr arlliw croen tywyll
1F3C3	person yn rhedeg
1F3C3 1F3FB	person yn rhedeg arlliw croen golau
1F3C3 1F3FC	person yn rhedeg arlliw croen canolig-golau
1F3C3 1F3FD	person yn rhedeg arlliw croen canolog
1F3C3 1F3FE	person yn rhedeg arlliw croen canolig-tywyll
1F3C3 1F3FF	person yn rhedeg arlliw croen tywyll
1F3C4	person yn syrffio
1F3C4 1F3FB	person yn syrffio arlliw croen golau
1F3C4 1F3FC	person yn syrffio arlliw croen canolig-golau
1F3C4 1F3FD	person yn syrffio arlliw croen canolog
1F3C4 1F3FE	person yn syrffio arlliw croen canolig-tywyll
1F3C4 1F3FF	person yn syrffio arlliw croen tywyll
1F3C5	medal chwaraeon
1F3C6	tlws
1F3C7	rasio ceffylau
1F3C7 1F3FB	rasio ceffylau arlliw croen golau
1F3C7 1F3FC	rasio ceffylau arlliw croen canolig-golau
1F3C7 1F3FD	rasio ceffylau arlliw croen canolog
1F3C7 1F3FE	rasio ceffylau arlliw croen canolig-tywyll
1F3C7 1F3FF	rasio ceffylau arlliw croen tywyll
1F3C8	pêl droed Americanaidd
1F3C9	pêl rygbi
1F3CA	person yn nofio
1F3CA 1F3FB	person yn nofio arlliw croen golau
1F3CA 1F3FC	person yn nofio arlliw croen canolig-golau
1F3CA 1F3FD	person yn nofio arlliw croen canolog
1F3CA 1F3FE	person yn nofio arlliw croen canolig-tywyll
1F3CA 1F3FF	person yn nofio arlliw croen tywyll
1F3CB	person yn codi pwysau
1F3CB 1F3FB	person yn codi pwysau arlliw croen golau
1F3CB 1F3FC	person yn codi pwysau arlliw croen canolig-golau
1F3CB 1F3FD	person yn codi pwysau arlliw croen canolog
1F3CB 1F3FE	person yn codi pwysau arlliw croen canolig-tywyll
1F3CB 1F3FF	person yn codi pwysau arlliw croen tywyll
1F3CC	person yn chwarae golff
1F3CC 1F3FB	person yn chwarae golff arlliw croen golau
1F3CC 1F3FC	person yn chwarae golff arlliw croen canolig-golau
1F3CC 1F3FD	person yn chwarae golff arlliw croen canolog
1F3CC 1F3FE	person yn chwarae golff arlliw croen canolig-tywyll
1F3CC 1F3FF	person yn chwarae golff arlliw croen tywyll
1F3CD	beic modur
1F3CE	car rasio
1F3CF	criced
1F3D0	pêl-foli
1F3D1	hoci cae
1F3D2	cnap a ffon hoci iâ
1F3D3	ping-pong
1F3D4	mynydd wedi’i orchuddio mewn eira
1F3D5	gwersyllu
1F3D6	traeth ag ymbarél
1F3D7	adeiladwaith adeilad
1F3D8	tai
1F3D9	dinaslun
1F3DA	tŷ gwag
1F3DB	adeilad clasurol
1F3DC	anialwch
1F3DD	ynys anghyfannedd
1F3DE	parc cenedlaethol
1F3DF	stadiwm
1F3E0	tŷ
1F3E1	tŷ gyda gardd
1F3E2	adeilad o swyddfa
1F3E3	swyddfa bost Japaneaidd
